순위	관광지명	광역시/도	시/군/구	도로명주소	중분류 카테고리	소분류 카테고리	검색건수
434	라온풋살파크수성점	대구광역시	수성구	대구 수성구 알파시티2로 95-0	문화관광	레저스포츠시설	146
434	안녕자두야디지털키즈카페	대구광역시	달서구	대구 달서구 조암남로32길 20-4	문화관광	테마공원	146
437	생각을담는정원	대구광역시	수성구	대구 수성구	문화관광	테마공원	145
437	무심사	대구광역시	달성군	대구 달성군 대암1길 12-5	역사관광	종교성지	145
439	천주교관덕정순교기념관	대구광역시	중구	대구 중구 관덕정길 11-0	문화관광	전시시설	144
440	선원공원	대구광역시	달서구	대구 달서구	문화관광	도시공원	143
441	칠곡향교	대구광역시	북구	대구 북구 칠곡중앙대로 597-0	역사관광	역사유적지	142
441	세천강변야구장	대구광역시	달성군	대구 달성군	문화관광	레저스포츠시설	142
443	대구스타디움종합안내소	대구광역시	수성구	대구 수성구 유니버시아드로 140-0	기타관광	기타관광	140
444	자이유	대구광역시	중구	대구 중구 동성로3길 35-0	쇼핑	쇼핑몰	139
445	이월드블라썸피크닉	대구광역시	달서구	대구 달서구 두류공원로 200-0	문화관광	기타문화관광지	130
446	더그루	대구광역시	달성군	대구 달성군 테크노상업로 100-0	문화관광	테마공원	129
447	신서에스풋살	대구광역시	동구	대구 동구	문화관광	레저스포츠시설	128
447	옻골동산운동장	대구광역시	북구	대구 북구	문화관광	레저스포츠시설	128
447	우유담따	대구광역시	북구	대구 북구 대천로 80-0	문화관광	테마공원	128
450	복현종합시장	대구광역시	북구	대구 북구 경진로1길 78-0	쇼핑	시장	126
450	금호강자연생태공원	대구광역시	동구	대구 동구	문화관광	도시공원	126
450	금용사	대구광역시	달서구	대구 달서구 공원순환로 213-0	역사관광	종교성지	126
450	가창카페 아트도서관	대구광역시	달성군	대구 달성군 우록길 131-0	문화관광	기타문화관광지	126
454	운흥사	대구광역시	달성군	대구 달성군 헐티로 1068-0	역사관광	종교성지	124
455	정법사	대구광역시	동구	대구 동구 동북로 397-0	역사관광	종교성지	121
456	불로강변야구장	대구광역시	동구	대구 동구	문화관광	레저스포츠시설	120
456	첼시풋살클럽명덕구장	대구광역시	남구	대구 남구 명덕로 178-0	문화관광	레저스포츠시설	120
456	아이터치키즈카페	대구광역시	북구	대구 북구 동천로 135-5	문화관광	테마공원	120
459	칼라스퀘어	대구광역시	수성구	대구 수성구 유니버시아드로 140-0	쇼핑	쇼핑몰	119
459	연경체육공원인공암벽장	대구광역시	북구	대구 북구 동화천로 330-0	레저스포츠	기타레저스포츠	119
459	불광사	대구광역시	남구	대구 남구 명덕로32길 40-0	역사관광	종교성지	119
462	수성구청소년수련원	대구광역시	수성구	대구 수성구 진밭길 409-0	레저스포츠	육상레저스포츠	118
462	대한불교진각종희락심인당	대구광역시	중구	대구 중구 명륜로12길 33-22	역사관광	종교성지	118
462	소담아트홀	대구광역시	수성구	대구 수성구 청수로38길 56-0	문화관광	공연시설	118
465	바운스트램폴린파크대구신세계백화점파미에타운점	대구광역시	동구	대구 동구 효신로 88-0	문화관광	테마공원	117
466	구암서원숭현사	대구광역시	북구	대구 북구 연암공원로17길 20-0	역사관광	역사유적지	116
466	동화낚시터	대구광역시	북구	대구 북구 동변로24길 106-0	레저스포츠	수상레저스포츠	116
468	나이스할인마트	대구광역시	수성구	대구 수성구 파동로 96-0	쇼핑	대형마트	114
469	구평리시장	대구광역시	서구	대구 서구	쇼핑	시장	113
470	연경공원	대구광역시	북구	대구 북구 동화천로 333-0	문화관광	도시공원	112
470	대구문화예술회관전시관	대구광역시	달서구	대구 달서구 공원순환로 201-0	문화관광	전시시설	112
472	나불지생태공원	대구광역시	동구	대구 동구	문화관광	도시공원	111
473	지산목련시장	대구광역시	수성구	대구 수성구 용학로42길 9-0	쇼핑	시장	110
473	대구라이온즈리틀야구단	대구광역시	북구	대구 북구	문화관광	레저스포츠시설	110
475	명덕시장	대구광역시	남구	대구 남구 대명로 291-0	쇼핑	시장	108
475	약산낚시터	대구광역시	달성군	대구 달성군 약산덧재길 154-0	레저스포츠	수상레저스포츠	108
477	월촌공원	대구광역시	달서구	대구 달서구 상인로 68-4	문화관광	도시공원	107
478	해바라기공원	대구광역시	북구	대구 북구 오봉로1길 41-0	문화관광	도시공원	106
478	두류정수장후적지	대구광역시	달서구	대구 달서구 당산로 176-0	문화관광	도시공원	106
478	오로라	대구광역시	달서구	대구 달서구 조암로 32-0	레저스포츠	육상레저스포츠	106
481	월촌역시장	대구광역시	달서구	대구 달서구 송현로12안길 0-0	쇼핑	시장	105
482	야시골공원	대구광역시	수성구	대구 수성구	문화관광	도시공원	104
483	맘편한플레이스키즈카페	대구광역시	북구	대구 북구 대현로 102-0	문화관광	테마공원	102
484	신세계스포렉스	대구광역시	수성구	대구 수성구 신천동로 350-0	레저스포츠	기타레저스포츠	101
484	관음사	대구광역시	동구	대구 동구 둔산로 535-0	역사관광	종교성지	101
484	베리어스	대구광역시	수성구	대구 수성구 달구벌대로 2881-0	문화관광	공연시설	101
487	강정유원지	대구광역시	달성군	대구 달성군	문화관광	복합관광시설	100
487	호텔인터불고 엑스코그랜드볼룸	대구광역시	북구	대구 북구 유통단지로 80-0	문화관광	공연시설	100
489	매천수산	대구광역시	북구	대구 북구 매천로18길 34-0	쇼핑	시장	98
489	화성파크드림갤러리	대구광역시	북구	대구 북구 원대로 130-0	문화관광	전시시설	98
491	대구대표도시숲	대구광역시	달서구	대구 달서구	문화관광	도시공원	96
491	마천산산림욕장	대구광역시	달성군	대구 달성군	자연관광	자연공원	96
491	달성보인증센터	대구광역시	달성군	대구 달성군	레저스포츠	기타레저스포츠	96
494	한마음선원대구지원	대구광역시	수성구	대구 수성구 수성로41길 76-0	역사관광	종교성지	93
495	호림강나루공원	대구광역시	달서구	대구 달서구	문화관광	도시공원	92
496	월곡역사박물관	대구광역시	달서구	대구 달서구 송현로7길 38-0	문화관광	전시시설	91
497	송현주공시장	대구광역시	달서구	대구 달서구 송현로12안길 0-0	쇼핑	시장	90
497	펀노리터대구점	대구광역시	달서구	대구 달서구 상인서로 103-6	문화관광	테마공원	90
499	함지산	대구광역시	북구	대구 북구	자연관광	자연경관(산)	89
499	강정고령보자전거길인증센터	대구광역시	달성군	대구 달성군 강정본길 57-0	기타관광	기타관광	89
